"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen16_0001",0.297185,0.093847,0.065487,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen16_0002",0.312034,0.096432,0.061317,1,0,0,0,1,1,1,1,0,0,1,1,0
"gen16_0003",0.28835,0.095799,0.066469,0,1,0,0,1,1,1,1,0,0,1,1,0
"gen16_0004",0.30969,0.09045,0.063229,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0005",0.297363,0.096494,0.06854,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen16_0006",0.295746,0.09504,0.060294,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0007",0.310481,0.096213,0.060613,1,1,1,0,1,1,0,1,0,1,1,0,0
"gen16_0008",0.300443,0.093467,0.062132,1,0,1,0,1,1,1,1,0,0,0,0,0
"gen16_0009",0.269658,0.090773,0.076176,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0010",0.296589,0.096465,0.831676,1,1,1,0,1,1,1,0,0,0,1,0,0
"gen16_0011",0.30854,0.093859,0.072105,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0012",0.262133,0.102166,0.061546,1,0,1,0,1,1,1,0,1,0,1,0,0
"gen16_0013",0.307042,0.095574,0.060948,1,0,1,0,1,1,0,1,0,0,1,0,0
"gen16_0014",0.210431,0.094168,0.068997,1,0,1,0,1,1,1,1,0,0,1,0,1
"gen16_0015",0.289628,0.094356,0.066184,1,0,1,0,1,1,1,1,0,1,1,0,0
"gen16_0016",0.266125,0.095664,0.066496,1,0,1,0,1,1,1,0,0,0,1,0,0
"gen16_0017",0.290963,0.093925,0.069771,1,1,1,0,1,1,1,1,0,0,0,0,0
"gen16_0018",0.228008,0.094102,0.071331,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0019",0.299709,0.093967,0.061165,1,0,1,0,1,1,1,1,0,0,1,0,0
"gen16_0020",0.29648,0.09454,0.061261,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0021",0.295974,0.361257,0.061138,1,0,1,0,0,1,1,1,0,0,1,0,0
"gen16_0022",-0.402012,0.094542,0.061288,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0023",0.268057,0.093404,0.069562,0,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0024",0.263734,0.099535,0.06816,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0025",0.301217,0.095496,0.063511,1,0,1,0,1,1,0,1,0,0,1,0,0
"gen16_0026",0.265351,0.093635,0.065117,1,0,0,0,1,1,0,1,0,0,1,0,0
"gen16_0027",0.296537,0.096258,0.062108,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen16_0028",0.310533,0.09642,0.063884,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0029",0.294418,0.100659,0.061419,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0030",0.2649,0.538971,0.065614,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0031",0.281924,0.100778,0.066203,1,0,1,0,1,1,0,1,0,0,1,0,0
"gen16_0032",0.269837,0.095744,0.061527,0,1,1,0,1,1,1,1,0,0,0,0,0
"gen16_0033",0.279832,0.092029,0.076649,1,1,1,0,1,1,1,1,1,0,1,0,0
"gen16_0034",0.286415,0.095209,0.064906,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen16_0035",0.27782,0.09521,0.064155,1,1,1,0,1,1,1,0,0,0,1,0,0
"gen16_0036",0.239653,0.094532,0.06579,1,0,1,0,1,1,1,1,0,0,1,0,0
"gen16_0037",0.295918,0.094001,0.06623,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0038",0.309211,0.096323,0.071254,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0039",0.304011,0.094349,0.063657,0,0,1,0,1,1,1,1,0,0,1,0,0
"gen16_0040",0.292659,0.095581,0.063475,1,0,1,0,1,1,1,1,0,0,1,0,0
"gen16_0041",0.293166,0.096442,0.067431,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen16_0042",0.292547,0.095851,0.067578,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen16_0043",0.216122,0.095439,0.064483,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen16_0044",0.306343,0.095161,0.065831,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0045",0.305012,0.095003,0.061569,1,0,1,0,1,1,1,1,0,0,1,0,0
"gen16_0046",0.305912,0.094677,0.061176,1,1,1,0,1,1,0,1,0,0,1,0,0
"gen16_0047",0.309646,0.48223,0.035432,1,1,1,0,1,1,1,1,0,0,1,0,0
"gen16_0048",0.296581,0.096101,0.06038,1,1,1,0,1,1,1,1,1,1,1,0,0
"gen16_0049",0.253595,0.095657,0.067461,1,1,0,0,1,1,1,1,0,0,1,0,0
