"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen20_0001",0.305957,0.090246,0.066787,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0002",0.298406,0.092085,0.065256,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0003",0.294986,0.095451,0.063257,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0004",0.29704,0.095442,0.062551,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0005",0.304553,0.093571,0.066577,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0006",0.293891,0.095756,0.062703,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0007",0.297173,0.094842,0.065071,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0008",0.282965,0.09557,0.062198,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0009",0.296222,0.095212,0.064391,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0010",0.294872,0.094522,0.06509,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0011",0.281011,0.095566,0.062577,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0012",0.296896,0.095474,0.065045,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0013",0.293275,0.096395,0.063903,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0014",0.276384,0.09557,0.063171,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0015",0.296581,0.095882,0.065071,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0016",0.304118,0.094495,0.066801,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0017",0.277004,0.095457,0.064173,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0018",0.295602,0.095325,0.063389,1,1,0,0,1,1,1,1,0,0,1,0,0
"gen20_0019",0.298665,0.09279,0.063507,1,1,0,0,1,1,1,1,0,0,1,0,0
