"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen7_0001",0.064389,0.094792,0.150647,0,0,1,1,1,1,1,1,0,0,1,0,0
"gen7_0002",0.101395,0.182605,0.153139,0,0,1,0,1,0,1,1,0,0,1,0,0
"gen7_0003",0.178427,0.094805,0.162589,1,0,0,0,1,1,1,1,0,0,1,1,0
"gen7_0004",0.065408,0.210923,0.146519,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen7_0005",0.206399,0.076691,0.178598,0,0,1,1,1,0,1,1,0,1,1,0,1
"gen7_0006",0.949891,0.12832,0.172316,1,0,1,1,1,1,1,1,0,0,1,0,0
"gen7_0007",0.361582,0.126597,0.138523,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen7_0008",0.302334,0.052053,0.179385,0,0,1,1,0,0,1,1,0,1,1,0,0
"gen7_0009",0.160771,0.814629,0.132214,0,0,1,1,1,0,1,1,0,1,1,0,1
"gen7_0010",0.917109,0.168499,0.176385,1,0,1,0,1,1,1,1,1,0,1,0,0
"gen7_0011",0.182275,0.469928,0.177811,0,1,1,1,1,1,1,1,0,1,0,0,0
"gen7_0012",1.095952,0.087007,0.177008,1,0,1,0,0,1,1,1,0,1,0,0,0
"gen7_0013",0.183377,0.099527,0.163199,0,0,0,0,1,1,1,1,0,0,1,0,0
"gen7_0014",0.070535,0.105107,0.146805,0,0,0,1,1,0,1,0,1,1,1,0,0
"gen7_0015",0.145042,0.075935,0.167454,0,0,1,1,1,0,1,1,1,1,1,0,0
"gen7_0016",0.853507,0.1369,0.16229,0,0,1,1,0,0,1,1,0,0,1,0,0
"gen7_0017",0.943168,0.164287,0.173781,1,1,1,0,1,0,1,1,0,0,1,0,0
"gen7_0018",0.923832,0.132532,0.17492,1,0,1,1,1,1,1,1,0,0,1,0,0
"gen7_0019",0.174711,0.119044,0.150284,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen7_0020",0.369146,0.102112,0.477361,0,1,1,1,1,0,1,1,0,1,1,0,0
"gen7_0021",0.662231,0.110481,0.175257,1,0,1,1,1,0,1,1,1,0,1,0,0
"gen7_0022",1.465675,0.09453,0.175657,0,0,1,1,1,0,1,1,1,0,1,0,0
"gen7_0023",0.237704,0.072228,0.178506,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen7_0024",0.246905,0.074384,0.17869,0,0,1,1,1,0,1,1,0,1,0,0,0
"gen7_0025",0.1703,0.077534,0.161963,1,0,0,0,1,1,1,1,0,1,1,0,1
"gen7_0026",0.573776,0.067847,0.161241,0,0,1,0,1,0,1,1,0,0,1,0,0
"gen7_0027",0.170222,0.093981,0.053772,0,0,1,0,1,1,1,1,0,0,0,0,0
"gen7_0028",0.990119,0.087818,0.052431,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen7_0029",0.870916,0.056876,0.171887,1,0,1,1,0,0,0,1,0,1,1,0,0
"gen7_0030",0.284925,0.132077,0.169788,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen7_0031",0.961574,0.158814,0.172218,1,0,1,0,1,1,1,1,0,0,1,0,0
"gen7_0032",0.116306,0.060261,0.164782,0,0,1,1,1,0,1,1,0,1,1,0,1
"gen7_0033",0.11512,0.190774,0.147869,0,0,0,1,1,0,1,1,0,1,1,0,1
"gen7_0034",0.111059,0.070725,0.159265,0,0,1,1,0,0,1,1,0,0,1,0,0
"gen7_0035",0.680242,0.119844,0.162041,0,0,1,1,1,0,1,1,0,0,1,0,1
"gen7_0036",-0.727265,0.067632,0.160864,1,0,1,1,1,0,1,1,0,1,1,0,0
"gen7_0037",0.466704,0.077108,0.177494,0,1,1,0,1,0,1,1,0,1,0,0,0
"gen7_0038",0.835647,0.08659,0.178112,1,0,1,1,1,1,1,1,0,0,1,0,0
"gen7_0039",0.926707,0.134485,0.16737,1,0,1,1,0,0,1,1,0,0,1,0,0
"gen7_0040",0.876691,0.130735,0.167236,1,0,1,1,1,0,1,1,0,0,1,0,0
"gen7_0041",-0.524799,0.104407,0.16238,0,0,1,1,1,0,1,1,0,1,1,0,0
"gen7_0042",0.303776,0.108428,0.167364,1,0,1,1,0,0,1,1,1,0,1,0,0
"gen7_0043",0.624743,0.189096,0.157893,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen7_0044",0.294172,0.158727,0.150916,1,0,1,1,0,0,1,1,0,0,1,0,0
"gen7_0045",0.182544,0.059912,0.169441,0,0,1,0,1,0,1,1,0,0,1,0,1
"gen7_0046",0.184626,0.067355,0.169772,0,0,1,1,1,1,1,1,0,1,1,0,1
"gen7_0047",0.378982,0.176359,0.150824,1,1,1,1,0,0,1,1,1,1,1,0,0
"gen7_0048",0.083995,0.132843,0.140838,0,0,1,0,1,0,1,1,0,0,1,0,0
"gen7_0049",0.211445,0.104921,0.162542,1,1,1,1,1,0,1,1,0,0,1,0,0
"gen7_0050",0.328564,0.116481,0.261836,1,0,0,0,1,1,1,1,0,1,1,1,0
"gen7_0051",0.358077,0.106695,0.145062,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen7_0052",0.067894,0.114694,0.144108,0,0,1,1,1,0,1,1,0,1,1,0,0
"gen7_0053",0.95799,0.1368,0.171361,1,0,1,1,0,0,1,1,0,1,1,0,0
"gen7_0054",0.845408,0.211023,0.163245,1,0,1,1,0,0,1,1,0,1,1,0,0
"gen7_0055",0.893825,0.192701,0.15897,1,0,1,1,1,1,1,1,0,0,1,0,1
"gen7_0056",0.266516,0.086568,0.168685,0,1,1,0,1,1,1,1,0,1,0,0,0
"gen7_0057",0.212844,0.045414,0.171597,0,0,1,0,1,0,1,1,0,0,1,0,0
"gen7_0058",0.190885,0.189244,0.160927,0,0,1,1,1,0,1,1,0,1,1,0,0
"gen7_0059",0.110832,0.209511,0.172043,0,0,1,1,1,0,0,1,0,0,1,0,0
"gen7_0060",0.25691,0.053465,0.153861,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen7_0061",0.823484,0.130015,0.177802,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen7_0062",0.308682,0.092864,0.172325,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen7_0063",0.113923,0.173984,0.146005,0,0,0,1,0,0,1,1,0,0,1,0,0
"gen7_0064",0.134862,0.136466,0.36077,0,0,0,0,1,1,1,1,0,0,0,0,0
