"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen6_0001",0.065408,0.210923,0.146519,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen6_0002",0.155821,0.045854,0.160005,0,0,1,0,1,0,1,1,0,1,0,0,0
"gen6_0003",0.183377,0.099527,0.163199,0,0,0,0,1,1,1,1,0,0,1,0,0
"gen6_0004",0.070535,0.105107,0.146805,0,0,0,1,1,0,1,1,0,1,1,0,0
"gen6_0005",0.480777,0.166777,0.17644,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen6_0006",0.089489,0.14704,0.1764,0,1,0,0,1,1,1,1,0,0,1,1,0
"gen6_0007",-0.183542,0.060666,0.159081,1,0,1,1,0,0,1,1,0,1,1,0,0
"gen6_0008",0.361836,0.077569,0.178989,1,0,1,1,1,1,1,1,1,1,0,0,0
"gen6_0009",0.354773,0.113703,0.746262,1,0,1,1,0,0,1,1,0,0,0,0,1
"gen6_0010",0.196654,0.109744,0.180154,1,1,1,1,0,0,1,1,0,0,1,1,0
"gen6_0011",0.924623,0.139937,0.167471,1,0,1,0,0,0,1,1,0,0,1,0,0
"gen6_0012",0.138352,0.129439,0.176842,0,1,1,0,1,0,1,1,1,1,1,0,0
"gen6_0013",0.306109,0.134366,0.177298,1,0,1,0,0,1,1,1,0,0,1,0,0
"gen6_0014",0.855442,0.137028,0.159435,1,0,1,1,0,1,1,1,0,0,1,0,0
"gen6_0015",0.658018,0.08834,0.160408,1,0,0,1,0,1,1,1,0,1,1,0,0
"gen6_0016",0.204534,0.116371,0.157152,0,1,1,0,0,1,1,0,0,1,0,1,0
"gen6_0017",0.160771,0.050576,0.160615,0,0,1,1,1,0,1,1,0,1,1,0,1
"gen6_0018",0.178427,0.094805,0.162589,1,0,0,0,1,1,1,1,0,0,1,0,0
"gen6_0019",-0.076755,0.106554,0.175821,1,1,1,1,0,0,1,1,0,1,1,1,0
"gen6_0020",0.089867,0.063856,0.91457,1,0,1,1,0,0,1,1,0,0,1,0,0
"gen6_0021",0.215323,0.07137,0.159609,1,0,1,1,1,0,1,1,1,1,0,0,0
"gen6_0022",0.302334,0.052053,0.179385,0,0,1,1,1,0,1,1,0,1,1,0,0
"gen6_0023",0.119834,0.074172,0.153385,0,0,1,0,1,0,0,1,0,0,1,0,0
"gen6_0024",0.101395,0.182605,0.153139,0,0,1,0,1,0,1,1,0,0,1,0,0
"gen6_0025",0.917109,0.168499,0.176385,1,0,1,0,1,1,1,1,0,0,1,0,0
"gen6_0026",0.488291,0.565099,0.167526,1,1,1,1,0,0,1,1,0,1,1,0,0
"gen6_0027",0.365013,0.268209,0.174098,1,1,1,1,1,0,1,1,0,0,1,0,0
"gen6_0028",0.271585,0.163271,0.162347,0,0,1,1,1,1,1,1,0,1,1,0,0
"gen6_0029",0.919387,0.113779,0.16708,1,0,1,1,0,1,1,1,0,1,0,0,0
"gen6_0030",0.663254,0.114498,0.160799,1,0,0,0,0,0,0,1,0,0,1,0,0
"gen6_0031",0.48881,0.140022,0.196125,1,1,1,1,0,1,1,0,0,0,1,0,0
"gen6_0032",0.298076,0.161121,0.176497,1,0,1,0,1,1,1,1,0,0,1,1,0
"gen6_0033",0.657177,0.088181,0.167536,0,1,1,0,1,0,1,1,0,1,0,1,0
"gen6_0034",0.139193,0.091748,0.169714,1,0,0,1,0,1,1,1,1,1,1,0,0
"gen6_0035",0.35126,0.114089,0.178586,1,1,1,1,0,0,1,1,0,0,1,0,0
"gen6_0036",0.200167,0.109358,0.176388,1,0,1,1,0,1,1,1,1,0,1,1,0
"gen6_0037",-2.791865,0.110717,0.160558,1,0,1,1,0,1,0,1,0,1,1,1,0
"gen6_0038",-0.213558,0.059693,0.178677,1,1,0,1,0,0,1,1,0,0,1,0,0
"gen6_0039",0.069484,0.10065,0.146538,0,0,1,1,0,0,1,1,0,0,1,0,0
"gen6_0040",0.066459,0.21538,0.146786,0,0,0,0,1,0,1,1,0,1,1,0,0
"gen6_0041",-1.743355,0.144372,0.169092,1,1,0,0,0,1,1,1,1,0,1,0,0
"gen6_0042",0.192739,0.102195,0.170507,0,0,0,0,1,1,1,0,0,0,1,0,0
"gen6_0043",0.362855,0.1937,0.174861,1,0,1,1,1,1,1,0,1,1,0,0,0
"gen6_0044",0.064389,0.094792,0.150647,0,0,1,1,1,1,1,1,0,0,1,0,0
"gen6_0045",0.361582,0.126597,0.138523,1,1,1,1,1,0,1,1,0,1,1,0,0
"gen6_0046",0.275016,0.086034,0.50605,0,0,1,1,1,1,1,1,0,0,1,0,0
"gen6_0047",0.14685,0.104338,0.176537,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen6_0048",0.346275,0.56926,0.175125,0,0,1,0,1,0,1,1,0,0,1,0,0
"gen6_0049",0.255531,0.103529,0.158705,1,0,1,0,0,1,1,1,0,1,1,0,0
"gen6_0050",0.206399,0.076691,0.178598,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen6_0051",0.149131,0.061508,0.866655,0,0,0,0,1,1,1,1,0,0,1,0,0
"gen6_0052",0.145042,0.075935,0.167454,0,0,1,1,1,0,1,1,1,1,1,0,0
"gen6_0053",0.926558,0.140065,0.164616,1,0,1,0,0,1,1,1,0,0,1,0,0
"gen6_0054",0.853507,0.1369,0.16229,1,0,1,1,0,0,1,1,0,0,1,0,0
"gen6_0055",0.128313,0.060413,0.16674,1,0,1,0,0,1,1,1,1,1,1,0,0
"gen6_0056",-0.173503,0.091842,0.169183,0,1,1,1,1,0,1,1,0,1,1,0,0
"gen6_0057",0.182275,0.094559,0.177811,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen6_0058",0.152731,0.106774,0.179185,1,1,1,0,0,0,1,1,1,0,0,1,0
"gen6_0059",0.949891,0.12832,0.172316,1,0,1,1,1,0,1,1,0,0,1,0,0
"gen6_0060",0.329505,0.12532,0.866186,1,0,1,0,0,0,1,1,0,0,1,0,0
"gen6_0061",0.328617,0.082151,0.178823,0,0,1,1,1,1,1,1,1,1,1,0,0
"gen6_0062",1.095952,0.087007,0.177008,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen6_0063",0.043865,0.12077,0.05906,1,0,1,1,1,0,1,0,0,0,1,0,0
"gen6_0064",0.951293,0.124274,0.164911,0,0,0,0,1,0,1,1,0,1,1,0,0
