"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen5_0001",0.065408,0.210923,0.146519,0,0,1,1,1,0,1,1,0,0,1,0,0
"gen5_0002",0.155821,0.045854,0.160005,0,0,1,1,1,0,1,1,0,1,1,0,0
"gen5_0003",0.328876,0.176157,0.176498,0,1,0,0,1,1,0,1,0,0,1,0,0
"gen5_0004",0.104137,0.526483,0.535763,0,1,0,0,0,1,1,1,1,1,1,0,0
"gen5_0005",0.157622,0.105066,0.169485,0,1,1,1,0,0,1,1,0,0,1,0,0
"gen5_0006",-0.259787,0.125964,0.170406,0,1,1,1,0,1,1,1,0,0,1,0,0
"gen5_0007",1.088078,0.13349,0.160491,1,0,0,0,0,1,1,1,0,1,1,0,0
"gen5_0008",0.857093,0.135655,0.188787,1,0,1,0,0,0,1,1,0,0,0,0,0
"gen5_0009",1.092354,0.123568,0.175076,1,0,0,0,0,1,1,1,0,0,1,0,0
"gen5_0010",-0.119026,0.412453,0.154949,0,0,1,1,0,1,1,1,1,1,1,0,0
"gen5_0011",0.436175,0.059656,0.184989,0,0,1,1,0,1,1,1,1,0,1,0,0
"gen5_0012",0.169423,0.129644,0.168046,0,0,1,0,0,1,1,1,0,1,1,0,0
"gen5_0013",0.204534,0.116371,0.157152,0,1,1,0,0,1,1,1,0,1,1,1,0
"gen5_0014",-0.259277,0.037147,0.157147,0,0,1,1,0,0,1,1,1,1,1,0,0
"gen5_0015",1.209243,0.139989,0.159088,1,0,1,1,0,1,1,1,0,1,1,0,0
"gen5_0016",0.853584,0.038758,0.632108,0,0,0,1,0,1,1,1,1,0,1,0,0
"gen5_0017",0.591149,0.046898,0.184681,0,0,0,1,0,1,1,0,1,0,1,0,0
"gen5_0018",0.69861,0.594308,0.184376,0,0,1,1,0,1,1,1,1,1,1,0,0
"gen5_0019",0.094014,0.128925,0.427909,0,1,1,1,0,1,1,1,0,0,1,0,0
"gen5_0020",0.855442,0.137028,0.159435,1,0,1,1,0,1,1,1,0,0,1,0,0
"gen5_0021",0.167737,0.129663,0.180396,0,0,1,0,0,1,0,1,0,1,1,0,0
"gen5_0022",0.20622,0.116352,0.170846,0,1,1,0,0,1,0,1,0,1,1,1,0
"gen5_0023",0.138352,0.091589,0.176842,0,1,1,0,1,1,1,1,1,1,1,0,0
"gen5_0024",0.40196,0.068828,0.184542,0,0,0,1,0,1,1,1,1,0,1,0,0
"gen5_0025",0.09901,0.206577,0.176109,0,0,1,0,1,1,1,1,1,0,1,0,0
