"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen0_001",-3.547754,0.985208,0.411498,1,0,0,1,0,1,1,1,0,1,1,0,0
"gen0_002",-2.467663,0.842966,0.767903,1,1,1,1,1,1,0,1,0,1,0,0,1
"gen0_003",-1.785233,0.983576,0.867799,1,1,0,0,1,0,1,1,1,1,0,0,1
"gen0_004",-3.787998,0.100152,0.648798,0,0,0,1,1,0,0,0,0,0,1,0,0
"gen0_005",1.292063,0.532371,0.508822,0,0,0,0,0,1,1,1,0,0,1,1,0
"gen0_006",-0.558477,0.863379,0.467948,0,1,1,0,1,0,0,1,0,0,1,0,1
"gen0_007",-2.335946,0.300356,0.940417,1,0,0,1,1,1,0,1,0,1,0,0,1
"gen0_008",-0.178754,0.189787,0.45,1,0,0,0,1,1,1,0,1,0,0,0,0
"gen0_009",-1.186747,0.9003,0.977437,0,0,1,1,0,1,0,1,1,1,1,1,1
"gen0_010",-3.577475,0.639578,0.111783,0,0,0,0,1,0,1,1,1,1,0,0,0
"gen0_011",0.271294,0.384247,0.20994,0,0,1,1,1,0,0,0,1,0,1,1,0
"gen0_012",-2.91622,0.155747,0.015614,0,0,1,1,1,1,1,0,0,0,1,0,1
"gen0_013",0.458414,0.22304,0.739498,0,1,1,0,1,0,1,1,1,0,1,1,0
"gen0_014",1.112487,0.955964,0.805104,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen0_015",-0.445711,0.949871,0.325867,1,0,0,1,1,1,0,1,1,0,0,0,1
"gen0_016",-2.842917,0.781896,0.048777,0,0,1,1,0,0,1,0,0,0,1,1,0
"gen0_017",-3.02189,0.02124,0.331744,0,1,1,0,1,1,0,0,0,0,1,1,0
"gen0_018",-0.300445,0.354141,0.09749,0,1,0,1,0,0,1,0,1,1,0,0,0
"gen0_019",-3.972242,0.609099,0.90777,1,1,1,0,0,1,0,0,1,1,1,0,0
"gen0_020",-1.937462,0.435197,0.36203,1,1,0,0,1,0,0,1,0,0,1,1,1
"gen0_021",-1.043376,0.756515,0.348293,0,0,1,0,0,0,1,1,1,1,1,0,0
"gen0_022",-0.584847,0.264659,0.724241,1,1,1,0,0,0,0,1,1,1,1,0,0
"gen0_023",-3.272082,0.290291,0.855565,0,0,1,1,0,0,1,1,0,0,0,1,0
"gen0_024",1.028708,0.088589,0.81303,1,1,0,1,1,0,1,0,0,1,0,0,0
"gen0_025",-1.627011,0.11469,0.306529,0,1,1,1,1,1,0,1,0,1,0,1,1
"gen0_026",1.335408,0.650485,0.292539,1,1,1,0,1,1,0,0,0,1,0,1,1
"gen0_027",-3.173126,0.741106,0.264065,1,1,0,0,1,1,0,0,1,0,1,1,1
"gen0_028",-1.430905,0.139114,0.683853,1,1,0,0,0,0,1,0,1,1,0,1,1
"gen0_029",1.213969,0.699818,0.924882,1,0,0,0,1,0,0,1,1,0,1,1,0
"gen0_030",-1.337035,0.330997,0.241719,1,0,1,1,0,0,1,1,0,1,1,1,1
"gen0_031",-0.788612,0.76656,0.042042,1,1,0,0,1,0,1,0,0,1,1,0,0
"gen0_032",-2.388858,0.53105,0.543909,0,1,1,1,0,0,1,1,1,1,0,1,1
"gen0_033",-2.630041,0.468075,0.57194,1,1,1,0,0,0,1,1,1,0,1,1,0
"gen0_034",0.569834,0.046125,0.638406,0,1,0,1,1,1,0,0,1,1,1,0,1
"gen0_035",-1.987097,0.407214,0.789988,1,0,0,1,1,1,0,0,0,0,0,1,0
"gen0_036",0.198342,0.879586,0.528763,1,0,1,1,1,0,0,0,0,1,0,0,1
"gen0_037",-1.138726,0.715612,0.227554,1,0,1,0,0,1,0,0,0,0,1,0,1
"gen0_038",-3.890962,0.575685,0.395143,0,0,1,0,0,0,0,0,1,1,0,1,0
"gen0_039",-0.104785,0.402425,0.177281,0,0,1,0,1,1,0,1,0,0,0,0,0
"gen0_040",1.440475,0.674234,0.486759,0,0,0,0,0,1,1,0,1,1,1,0,1
"gen0_041",0.551695,0.722984,0.555748,1,0,0,1,0,0,1,0,1,0,0,0,0
"gen0_042",-2.277738,0.58673,0.135,1,1,0,1,0,1,1,1,0,0,1,0,0
"gen0_043",-0.985502,0.560389,0.891439,0,0,1,0,1,0,1,0,0,1,0,0,0
"gen0_044",-0.822986,0.475847,0.023327,0,0,0,0,0,0,1,0,0,0,0,1,1
"gen0_045",0.887966,0.452614,0.698525,0,1,1,0,0,0,0,0,0,0,1,1,1
"gen0_046",-2.593848,0.512092,0.585207,0,1,1,0,1,1,1,0,0,0,1,1,1
"gen0_047",-3.326351,0.931752,0.15809,1,1,0,0,0,1,0,0,1,1,1,1,0
"gen0_048",0.644141,0.214262,0.764553,0,0,1,1,1,0,1,0,1,1,0,0,1
"gen0_049",-0.658001,0.819841,0.27094,1,1,1,1,0,0,0,1,1,0,0,1,1
"gen0_050",-0.030747,0.174164,0.195517,0,0,0,0,0,0,0,1,1,1,0,0,1
"gen0_051",-3.06347,0.323823,0.710049,1,1,0,1,0,1,0,0,1,0,0,1,1
"gen0_052",-3.714932,0.622518,0.993781,1,0,0,0,0,1,1,1,0,1,1,1,1
"gen0_053",-1.693702,0.848056,0.422936,0,1,0,1,0,1,1,0,1,0,1,1,0
"gen0_054",-0.372052,0.245332,0.604112,1,0,1,1,0,0,0,0,1,1,0,1,0
"gen0_055",0.323358,0.271098,0.143532,1,0,1,0,1,1,1,1,0,1,0,1,1
"gen0_056",0.771516,0.801354,0.885313,0,1,0,0,1,1,0,1,0,0,1,1,0
"gen0_057",-2.15247,0.657171,0.480324,0,1,0,1,0,1,0,0,0,0,0,0,1
"gen0_058",-3.463695,0.069997,0.664485,1,0,1,0,0,0,0,0,1,0,0,0,1
"gen0_059",-2.751973,0.916196,0.61592,1,1,0,1,1,0,0,1,0,1,1,0,0
"gen0_060",0.976475,0.168866,0.829145,1,1,0,1,0,1,1,0,0,1,1,1,1
"gen0_061",-1.552779,0.490116,0.074439,0,1,1,0,1,1,0,1,1,1,1,1,1
"gen0_062",-2.051798,0.012435,0.386585,0,0,1,1,0,1,1,1,1,1,0,0,1
"gen0_063",0.111853,0.374796,0.088596,1,1,0,1,0,1,1,1,0,0,0,0,0
"gen0_064",-1.322942,0.059859,0.958025,0,1,0,1,1,0,1,1,1,0,0,0,0
