"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen6_0001",0.009348,0.15691,0.076101,0,1,0,1,0,0,1,1,0,0,0,0,1
"gen6_0002",0.037891,0.385893,0.09592,0,1,0,1,0,1,1,1,0,0,0,0,0
"gen6_0003",-0.027594,0.113131,0.052743,0,0,1,1,1,0,0,1,0,1,1,1,0
"gen6_0004",0.01516,0.128219,0.108996,0,1,0,1,1,1,1,1,0,0,1,0,0
"gen6_0005",0.021361,0.159494,0.320601,0,1,0,1,0,1,1,1,0,0,0,1,0
"gen6_0006",0.07432,0.139562,0.122709,1,1,0,0,0,0,1,1,0,0,0,0,0
"gen6_0007",0.085145,0.404559,0.122635,0,1,0,0,1,1,1,1,0,0,0,0,0
"gen6_0008",-0.075616,0.372535,0.095642,1,1,0,0,0,1,1,1,0,0,1,0,0
"gen6_0009",1.038076,0.131169,0.105473,1,1,0,0,1,1,1,1,0,0,0,0,0
"gen6_0010",-0.153708,0.139066,0.029832,1,0,0,1,1,0,1,1,0,1,0,0,1
"gen6_0011",0.111853,0.412298,0.088596,0,1,1,1,0,1,1,1,0,0,0,0,0
"gen6_0012",-0.311669,0.406759,0.031392,1,0,1,1,0,0,1,1,1,0,1,0,0
"gen6_0013",-0.192967,0.301859,0.129628,0,1,0,0,1,1,1,1,0,0,0,0,0
"gen6_0014",-0.147046,0.122948,0.127748,1,0,0,0,1,1,1,1,1,0,0,0,0
"gen6_0015",-0.115078,0.311556,0.944647,1,1,0,0,1,1,1,1,0,0,0,0,0
"gen6_0016",0.060105,0.34947,0.097138,0,1,0,1,0,0,1,1,0,0,0,1,1
"gen6_0017",-0.147816,0.201485,0.074866,0,1,0,1,0,0,1,1,0,0,0,0,0
"gen6_0018",-0.035803,0.257284,0.130863,0,1,0,0,1,0,1,1,0,1,0,0,1
"gen6_0019",-0.14731,0.157804,0.024717,1,1,0,1,0,0,1,1,0,1,0,1,1
"gen6_0020",0.014963,0.140756,0.115456,0,1,0,1,1,1,1,1,0,0,0,0,0
"gen6_0021",0.033869,0.372546,0.090147,0,1,0,1,0,1,1,1,0,0,1,0,0
"gen6_0022",0.002368,0.412287,0.094091,1,1,1,1,0,1,1,1,0,0,0,0,0
"gen6_0023",-0.125162,0.313955,0.11921,1,1,0,0,1,1,1,1,0,1,0,0,0
"gen6_0024",-0.143421,0.602649,0.10606,0,1,0,1,0,1,1,1,0,0,0,0,0
"gen6_0025",-0.24395,0.398199,0.058689,0,1,0,1,1,1,1,1,0,0,0,0,0
"gen6_0026",1.45997,0.394453,0.308167,1,0,1,1,1,1,1,1,0,0,1,0,0
"gen6_0027",-0.146621,0.138246,0.094925,1,0,1,1,1,0,1,1,0,1,0,0,0
"gen6_0028",-0.154133,0.123768,0.062655,1,0,0,0,1,0,1,1,1,0,0,0,1
"gen6_0029",0.104327,0.411849,0.122169,0,1,0,1,0,1,1,1,0,0,0,0,0
"gen6_0030",0.092671,0.405008,0.089062,0,1,1,1,1,1,1,1,0,0,0,0,0
"gen6_0031",0.062472,0.145705,0.0821,0,1,1,1,1,0,1,1,0,0,0,1,0
"gen6_0032",0.021787,0.379724,0.059239,0,0,1,1,0,1,1,1,0,1,0,0,0
"gen6_0033",-0.149795,0.135814,0.02521,0,0,0,1,1,0,1,1,0,0,0,0,0
"gen6_0034",-0.150959,0.1262,0.13237,1,0,0,0,1,1,1,1,1,1,0,0,1
"gen6_0035",0.104633,0.424054,0.093019,0,1,1,0,1,1,1,1,0,0,0,0,0
"gen6_0036",0.190027,0.373102,0.11346,1,1,0,1,0,1,1,1,0,0,0,0,0
"gen6_0037",-0.202779,0.412728,0.060647,0,1,1,1,0,1,1,1,0,0,0,0,0
"gen6_0038",0.002963,0.406329,0.082575,1,0,1,1,0,1,1,1,0,0,1,0,0
"gen6_0039",0.044602,0.384779,0.673357,1,1,0,1,0,1,1,1,0,0,0,0,1
"gen6_0040",-0.082327,0.373649,0.895681,0,1,0,1,0,1,1,1,0,0,1,0,0
"gen6_0041",-1.321511,0.433879,0.060753,1,0,0,1,0,1,1,1,0,0,1,0,0
"gen6_0042",-0.096226,0.101099,0.079635,0,1,1,1,0,1,1,1,0,0,1,0,0
"gen6_0043",-0.123819,0.146304,0.030275,0,0,0,1,0,1,1,1,0,0,0,1,0
"gen6_0044",-0.008528,0.152256,0.109898,1,0,0,1,1,0,1,1,0,0,0,0,1
"gen6_0045",0.035405,0.262695,0.55368,1,1,0,1,0,0,1,1,0,0,0,0,0
"gen6_0046",0.048263,0.172017,0.100312,0,1,0,1,0,0,1,1,0,0,0,0,1
"gen6_0047",-0.06334,0.140603,0.122407,1,0,0,0,1,1,1,1,0,0,0,0,0
"gen6_0048",0.028147,0.394643,0.093937,0,1,1,1,0,1,1,1,1,1,0,0,0
"gen6_0049",0.819427,0.119786,0.057858,1,0,0,1,1,0,1,1,0,1,0,0,0
"gen6_0050",0.191055,0.124514,0.100358,0,1,1,0,1,1,1,1,0,0,0,1,0
"gen6_0051",-0.089817,0.149699,0.119971,1,1,0,0,0,0,1,1,0,0,0,0,0
"gen6_0052",0.049059,0.301419,0.120621,1,1,0,1,1,1,1,1,0,0,0,0,0
"gen6_0053",-0.184705,0.42219,0.613899,1,1,1,1,1,0,1,1,0,0,0,1,0
"gen6_0054",-0.052644,0.124131,0.979389,1,0,0,1,0,1,1,1,0,0,1,0,0
"gen6_0055",-0.001842,0.374817,0.095534,1,1,0,1,0,1,1,1,0,0,0,1,0
"gen6_0056",-2.704,0.347188,0.097246,1,1,0,1,0,0,1,1,0,0,1,0,1
"gen6_0057",0.064738,0.320026,0.111406,1,1,0,0,0,1,1,1,0,0,0,1,1
"gen6_0058",-0.119711,0.341,0.103615,1,1,0,1,0,0,1,1,0,0,0,0,0
"gen6_0059",-0.091246,0.302487,0.090174,0,1,0,0,0,1,1,1,1,0,0,0,1
"gen6_0060",0.056053,0.232759,0.12617,1,1,1,1,1,1,1,0,0,0,0,0,0
"gen6_0061",-0.021989,0.335798,0.119615,1,1,0,1,1,0,1,1,0,0,0,0,0
"gen6_0062",-0.032984,0.325228,0.095406,1,1,0,0,0,1,1,1,1,0,0,1,1
"gen6_0063",0.011868,0.143548,0.061625,1,0,1,1,1,0,1,0,0,0,0,0,1
"gen6_0064",-0.156228,0.292336,0.044308,0,1,0,1,0,0,1,1,0,1,0,1,0
