"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen21_0001",0.136949,0.120385,0.079634,1,1,0,1,0,1,1,1,0,0,0,0,1
"gen21_0002",0.130346,0.088504,0.080013,1,0,1,1,0,1,1,1,0,0,0,0,1
"gen21_0003",0.128705,0.12006,0.082617,1,1,1,1,0,0,1,1,0,0,0,0,1
"gen21_0004",0.139464,0.117988,0.077578,1,0,1,1,0,0,1,1,0,0,1,0,1
"gen21_0005",0.136652,0.118117,0.077566,1,0,1,1,0,1,1,0,0,1,0,0,1
"gen21_0006",0.137056,0.118,0.077438,1,1,1,1,0,1,1,1,0,0,0,0,1
"gen21_0007",0.132025,0.118143,0.077718,1,1,1,1,0,1,1,1,0,0,0,0,1
"gen21_0008",0.135406,0.118278,0.079244,1,1,0,1,0,1,1,1,0,0,0,0,1
"gen21_0009",0.130846,0.119652,0.078808,1,1,1,1,0,1,1,1,0,0,0,0,1
"gen21_0010",0.137429,0.064897,0.076292,1,1,0,1,0,1,1,1,0,0,0,0,1
"gen21_0011",0.149099,0.122063,0.075861,1,1,0,1,1,1,1,1,0,1,0,0,0
"gen21_0012",0.149198,0.121578,0.079334,1,1,0,1,1,1,1,1,0,1,0,0,0
"gen21_0013",0.090514,0.779525,0.077468,1,1,0,1,1,0,1,1,1,1,0,0,0
"gen21_0014",0.119891,0.093227,0.079071,1,1,0,1,1,1,1,1,0,0,0,0,1
"gen21_0015",0.123005,0.122425,0.07593,1,1,0,1,1,1,1,1,0,1,0,0,0
"gen21_0016",0.095772,0.120065,0.770424,1,1,0,1,1,1,1,1,0,1,0,0,1
"gen21_0017",0.131127,0.084904,0.07623,1,1,0,0,0,1,1,1,0,1,0,0,0
"gen21_0018",0.102074,0.100058,0.344472,0,1,0,1,1,1,1,1,0,0,0,0,1
"gen21_0019",0.100954,0.103175,0.080091,1,1,0,1,1,0,1,1,0,1,1,0,0
"gen21_0020",0.132247,0.081787,0.076066,1,1,0,1,0,1,1,1,0,0,0,0,1
