"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen2_0001",0.196689,0.223399,0.185888,1,0,1,1,1,0,1,1,0,0,1,1,0
"gen2_0002",-0.151431,0.394903,0.122674,0,0,1,1,1,0,1,1,0,1,1,1,0
"gen2_0003",-0.258813,0.095548,0.066714,0,1,1,1,1,0,1,0,1,0,0,0,0
"gen2_0004",0.486207,0.081777,0.224979,1,1,0,0,1,0,1,1,0,1,1,1,1
"gen2_0005",0.494949,0.108923,0.281796,1,1,0,0,1,0,1,1,0,1,1,1,1
"gen2_0006",-0.215165,0.697671,0.085024,0,1,1,1,1,0,1,0,0,1,0,1,0
"gen2_0007",0.476303,0.043426,0.292118,0,1,0,0,1,1,1,1,0,0,1,1,1
"gen2_0008",0.919136,0.191544,0.289257,1,1,1,1,1,0,1,0,1,1,0,1,1
"gen2_0009",0.637265,0.357391,0.310531,0,1,1,1,1,1,1,1,0,1,0,0,1
"gen2_0010",-1.024933,0.374135,0.195594,0,0,0,0,0,0,1,1,1,0,0,0,0
"gen2_0011",-0.320402,0.749928,0.346569,0,1,0,1,1,0,1,1,1,0,0,1,0
"gen2_0012",-0.791113,0.283185,0.356545,1,1,0,0,0,0,1,1,1,0,0,1,0
"gen2_0013",-2.086137,0.275775,0.021132,0,1,0,0,0,1,1,1,0,0,0,0,0
"gen2_0014",-1.169752,0.435383,0.081209,1,1,1,1,1,0,1,0,1,1,0,1,0
"gen2_0015",-0.399023,0.755923,0.372185,0,1,0,1,0,0,1,1,1,0,0,1,1
"gen2_0016",-1.106018,0.432103,0.118859,1,0,1,1,1,0,1,1,1,1,1,1,0
"gen2_0017",0.486871,0.34888,0.293514,0,1,1,1,1,0,1,0,0,1,0,0,0
"gen2_0018",-0.064771,0.706182,0.102041,0,1,1,1,1,1,1,1,0,1,0,1,1
