"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen28_0001",-0.03799,0.084614,0.324294,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0002",-0.044414,0.115703,0.018534,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0003",-0.044403,0.116055,0.028222,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0004",-0.043044,0.090842,0.069643,1,1,0,1,1,1,1,1,1,0,1,1,0
"gen28_0005",-0.043364,0.484178,0.018657,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0006",-0.043524,0.115827,0.022481,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0007",-0.043406,0.11416,0.043017,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0008",-0.04251,0.11293,0.32234,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0009",-0.042039,0.113531,0.059564,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen28_0010",-0.042872,0.015962,0.069643,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0011",-0.04273,0.112825,0.037674,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0012",-0.045481,0.114721,0.027355,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0013",-0.026774,0.116132,0.056986,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0014",-0.045503,0.115792,0.056411,0,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0015",-0.045362,0.115777,0.915607,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0016",-0.043041,0.114416,0.042576,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0017",-0.043448,0.112664,0.030326,1,1,0,1,1,1,0,1,0,0,1,1,0
"gen28_0018",1.286949,0.116186,0.045663,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0019",-0.045401,0.115711,0.031214,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0020",-0.044375,0.115769,0.035825,1,1,1,1,1,1,0,1,1,1,1,1,0
"gen28_0021",-0.045507,0.115521,0.529669,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0022",-0.044377,0.115255,0.027037,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0023",-0.045301,0.115828,0.022925,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen28_0024",-0.043544,0.114813,0.023087,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen28_0025",-0.044469,0.098844,0.062695,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen28_0026",-0.043937,0.107775,0.055453,1,1,0,1,1,1,0,1,1,1,1,1,0
