"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen20_0001",-0.044247,0.087502,0.08282,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen20_0002",-0.04361,0.126983,0.081395,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0003",-0.05238,0.121218,0.076146,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0004",-0.052972,0.399672,0.077419,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0005",-0.04584,0.122388,0.077655,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0006",-0.04434,0.260624,0.006046,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen20_0007",-0.044997,0.120645,0.082835,1,0,1,0,1,1,1,0,1,1,1,1,0
"gen20_0008",-0.035587,0.121516,0.077309,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen20_0009",-0.043609,0.125441,0.077653,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen20_0010",-0.046389,0.120395,0.456168,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen20_0011",-0.04382,0.129653,0.080481,1,1,0,1,1,0,1,1,1,1,1,1,0
"gen20_0012",-0.046079,0.100394,0.08021,1,1,1,1,1,0,1,1,1,1,1,1,0
"gen20_0013",-0.042638,0.12194,0.082814,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen20_0014",-0.045009,0.129136,0.082902,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen20_0015",-0.038196,0.11907,0.082812,1,1,0,1,1,0,1,1,1,1,1,1,0
"gen20_0016",-0.036555,0.120488,0.082289,1,1,0,1,1,0,1,1,1,1,1,1,0
"gen20_0017",-0.043141,0.681305,0.082814,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen20_0018",-0.043837,0.121941,0.082819,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen20_0019",-0.043962,0.123362,0.071321,1,1,0,1,1,0,0,1,1,1,1,1,0
"gen20_0020",-1.81573,0.124109,0.016104,1,1,0,1,1,1,1,0,1,1,1,1,0
"gen20_0021",-0.046449,0.108615,0.082832,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen20_0022",-0.044187,0.099282,0.082834,1,1,1,1,1,1,0,1,1,1,1,1,1
"gen20_0023",-0.044372,0.099506,0.079917,1,0,0,1,1,1,1,1,0,1,1,1,0
"gen20_0024",-0.052255,0.109214,0.079049,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen20_0025",-0.045122,0.122922,0.082881,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen20_0026",-0.046276,0.126609,0.082867,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen20_0027",-0.051369,0.121892,0.07838,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen20_0028",-1.757778,0.09972,0.077976,1,1,0,1,1,0,1,1,1,1,1,1,0
"gen20_0029",-0.052297,0.118099,0.486317,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen20_0030",-0.046162,0.103513,0.076358,0,1,0,1,1,0,1,1,1,1,1,0,0
"gen20_0031",-0.052527,0.122186,0.076937,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0032",-0.045693,0.12142,0.076864,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0033",-0.036691,0.119227,0.082936,1,1,0,1,1,0,1,1,1,1,0,1,0
"gen20_0034",-0.037092,0.121359,0.077185,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0035",-0.045537,0.117738,0.080995,1,1,1,1,1,0,1,1,1,1,1,1,0
"gen20_0036",-0.045539,0.103301,0.957112,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen20_0037",-0.041731,0.128158,0.082923,1,1,0,1,1,0,1,1,1,1,1,1,0
"gen20_0038",-0.040285,0.120565,0.08037,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen20_0039",-0.04575,0.127389,0.083176,1,1,0,1,1,0,1,1,1,1,1,1,0
