"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen1_0001",0.486207,0.081777,0.224979,1,1,0,0,1,0,1,1,0,1,1,1,1
"gen1_0002",-0.151431,0.394903,0.122674,0,0,1,1,1,0,1,1,0,1,1,1,0
"gen1_0003",0.637265,0.357391,0.310531,0,1,1,1,1,1,1,1,0,1,0,0,1
"gen1_0004",-1.169752,0.435383,0.081209,1,1,1,1,1,0,1,0,1,1,0,1,0
"gen1_0005",-2.086137,0.275775,0.021132,0,1,0,0,0,1,1,1,0,0,0,0,0
"gen1_0006",-1.049122,0.396775,0.316102,1,0,0,0,0,1,1,0,1,1,0,0,0
"gen1_0007",1.435299,0.198449,0.525095,1,1,0,1,0,0,1,1,1,0,1,1,1
"gen1_0008",-0.668077,0.798003,0.3686,1,0,0,1,0,1,1,0,1,1,1,1,0
"gen1_0009",-0.258011,0.008201,0.698497,0,1,1,0,1,0,1,1,0,0,1,1,0
"gen1_0010",0.115639,0.333369,0.486125,0,0,1,0,1,0,1,0,0,1,1,0,1
"gen1_0011",-0.393649,0.441467,0.629859,1,0,1,1,0,0,1,1,1,0,0,1,0
"gen1_0012",-1.354316,0.814134,0.605167,1,1,0,0,0,0,1,0,0,1,0,1,1
"gen1_0013",-0.512639,0.247444,0.281263,0,1,1,1,1,0,0,0,1,0,0,0,1
"gen1_0014",0.974805,0.737237,0.503733,1,0,1,1,1,1,1,0,1,1,0,1,1
"gen1_0015",-0.905506,0.364322,0.154075,1,0,0,0,1,0,0,1,1,1,1,0,0
"gen1_0016",-0.320402,0.749928,0.346569,0,1,0,1,1,0,1,1,1,0,0,1,0
"gen1_0017",-0.411097,0.394086,0.249382,0,0,1,1,1,0,0,0,1,0,0,1,0
"gen1_0018",-0.495191,0.294825,0.66174,1,1,1,1,0,0,1,1,1,0,0,0,1
"gen1_0019",-1.410756,0.766255,0.622916,1,1,1,1,0,0,1,0,1,1,0,1,0
"gen1_0020",-3.680756,0.489346,0.61211,1,0,1,0,0,0,1,1,0,1,0,1,1
"gen1_0021",1.381406,0.218144,0.52725,1,1,1,1,0,0,1,1,1,0,1,1,1
"gen1_0022",-0.339756,0.421772,0.627704,1,0,0,1,0,0,1,1,1,0,0,1,0
"gen1_0023",1.034247,0.250931,0.480106,0,1,0,1,1,1,1,1,1,1,0,1,0
"gen1_0024",0.913447,0.680929,0.721696,0,1,0,1,0,1,0,0,1,0,0,1,1
"gen1_0025",-0.791113,0.283185,0.356545,1,1,0,0,0,0,1,1,1,0,0,1,0
"gen1_0026",1.17729,0.312039,0.484652,1,0,0,1,0,1,1,0,1,0,1,1,1
"gen1_0027",0.541876,0.072165,0.790955,1,1,0,0,1,1,1,1,0,1,1,1,0
"gen1_0028",0.919136,0.191544,0.289257,1,1,1,1,1,0,1,0,1,1,0,1,1
"gen1_0029",0.155516,0.253224,0.264155,0,1,1,1,1,0,0,0,0,1,1,0,1
