"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen26_0001",-0.044414,0.115703,0.018534,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen26_0002",-0.043816,0.114201,0.018789,1,1,0,1,1,1,1,1,0,1,1,1,1
"gen26_0003",-0.045503,0.115792,0.056411,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0004",-0.008516,0.115901,0.059922,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0005",-0.043217,0.116181,0.059159,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0006",-0.042688,0.1159,0.054505,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen26_0007",-0.047257,0.114871,0.045274,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0008",-0.042198,0.11783,0.030171,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0009",-0.004416,0.115736,0.055914,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen26_0010",-0.043893,0.30659,0.07948,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen26_0011",-0.041369,0.111752,0.080765,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0012",-0.041636,0.117834,0.055844,1,1,1,1,1,1,0,1,1,1,1,1,0
"gen26_0013",-0.043081,0.083101,0.067471,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0014",-0.038048,0.117998,0.056909,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen26_0015",0.001462,0.11589,0.072077,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0016",-0.045064,0.120301,0.880805,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen26_0017",-0.038327,0.117937,0.056112,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen26_0018",-0.041357,0.117895,0.056641,1,1,1,1,1,1,1,1,1,1,1,0,0
