"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen15_0001",0.31139,0.120267,0.042981,0,0,1,1,1,0,1,1,1,0,1,1,1
"gen15_0002",0.373314,0.118421,0.039552,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0003",0.386612,0.120311,0.042488,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0004",0.347902,0.117925,0.041694,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0005",0.355107,0.118094,0.043906,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0006",0.445612,0.117259,0.040481,0,0,1,1,1,1,0,1,1,0,0,1,0
"gen15_0007",0.419366,0.120011,0.039596,0,0,1,1,1,1,0,1,1,0,0,1,0
"gen15_0008",0.33342,0.119827,0.040729,0,0,1,1,1,1,1,1,0,0,0,1,0
"gen15_0009",0.321841,0.120308,0.042069,0,1,1,1,1,1,1,1,1,0,1,1,0
"gen15_0010",0.283462,0.120981,0.609972,0,0,1,1,1,1,1,0,1,1,0,1,0
"gen15_0011",0.314532,0.120495,0.040997,0,0,1,1,1,1,1,1,1,0,0,0,0
"gen15_0012",0.407944,0.120694,0.043377,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0013",0.326581,0.120103,0.044066,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0014",0.32645,0.119898,0.044943,0,0,1,1,1,0,1,1,1,0,0,1,0
"gen15_0015",0.323911,0.118682,0.037286,0,0,1,1,1,1,0,1,1,0,0,1,0
"gen15_0016",0.309383,0.848101,0.039551,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0017",0.346036,0.826253,0.04158,0,0,1,1,1,1,0,1,1,0,0,1,0
"gen15_0018",0.311249,0.118129,0.039665,0,0,1,1,1,1,1,1,1,1,0,1,0
"gen15_0019",0.312896,0.120355,0.807582,0,0,1,1,1,0,1,1,1,0,0,1,0
"gen15_0020",0.313026,0.120407,0.042143,0,1,1,1,1,1,1,1,1,0,0,1,1
"gen15_0021",0.311574,0.119892,0.039531,0,0,1,1,1,1,1,0,1,0,0,1,0
"gen15_0022",0.32172,0.119012,0.037306,0,1,1,1,1,1,1,1,1,0,0,1,0
"gen15_0023",0.354789,0.118297,0.039896,0,0,1,1,1,1,0,1,1,0,0,1,1
"gen15_0024",0.366427,0.118049,0.04135,0,0,1,0,1,1,1,1,1,0,0,1,0
"gen15_0025",0.395544,0.118397,0.040957,1,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0026",0.3646,0.119357,0.040521,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0027",0.330891,0.120126,0.184055,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0028",0.32911,0.119804,0.040642,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0029",-1.835542,0.120304,0.042668,0,0,1,1,1,0,1,1,1,0,1,1,1
"gen15_0030",0.347711,0.120274,0.269596,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0031",0.412718,0.11979,0.666486,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0032",0.379962,0.118642,0.246857,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0033",0.453867,0.118745,0.040587,0,0,1,0,1,1,1,1,1,0,0,1,0
"gen15_0034",0.306277,0.119009,0.040891,0,0,1,1,1,1,1,1,0,0,0,1,0
"gen15_0035",0.045339,0.11813,0.041979,0,0,0,1,1,1,1,1,1,0,1,1,0
"gen15_0036",0.365526,0.118385,0.685297,0,0,1,1,1,1,0,1,1,0,0,1,0
"gen15_0037",0.332738,0.11987,0.043856,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0038",0.327132,0.119855,0.041816,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0039",0.315159,0.120234,0.845691,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0040",0.41359,0.119999,0.734579,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0041",0.312806,0.120309,0.042766,0,0,1,1,1,1,1,1,1,0,1,1,0
"gen15_0042",0.313116,0.120453,0.041212,0,0,1,1,1,0,1,1,1,0,1,1,1
"gen15_0043",0.407038,0.118663,0.90127,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0044",0.324817,0.120713,0.039645,0,0,1,1,1,1,1,1,1,1,0,1,0
"gen15_0045",0.347254,0.117978,0.043869,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0046",0.355755,0.118041,0.041731,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen15_0047",0.354095,0.118305,0.726888,0,0,0,1,1,1,1,1,1,0,0,1,0
